func,score,rocauc
1-2-3-4-5-6-7,0.53,0.67
1-2-3-4-5-6-8,0.53,0.67
1-2-3-4-5-6-9,0.47,0.61
1-2-3-4-5-7-8,0.47,0.67
1-2-3-4-5-7-9,0.47,0.6
1-2-3-4-5-8-9,0.45,0.58
1-2-3-4-6-7-8,0.49,0.71
1-2-3-4-6-7-9,0.48,0.66
1-2-3-4-6-8-9,0.44,0.66
1-2-3-4-7-8-9,0.47,0.63
1-2-3-5-6-7-8,0.52,0.67
1-2-3-5-6-7-9,0.48,0.61
1-2-3-5-6-8-9,0.48,0.64
1-2-3-5-7-8-9,0.49,0.61
1-2-3-6-7-8-9,0.48,0.66
1-2-4-5-6-7-8,0.55,0.68
1-2-4-5-6-7-9,0.45,0.63
1-2-4-5-6-8-9,0.47,0.64
1-2-4-5-7-8-9,0.44,0.59
1-2-4-6-7-8-9,0.49,0.66
1-2-5-6-7-8-9,0.49,0.66
1-3-4-5-6-7-8,0.48,0.71
1-3-4-5-6-7-9,0.48,0.62
1-3-4-5-6-8-9,0.44,0.61
1-3-4-5-7-8-9,0.47,0.62
1-3-4-6-7-8-9,0.49,0.65
1-3-5-6-7-8-9,0.49,0.62
1-4-5-6-7-8-9,0.49,0.67
2-3-4-5-6-7-8,0.52,0.67
2-3-4-5-6-7-9,0.48,0.61
2-3-4-5-6-8-9,0.48,0.64
2-3-4-5-7-8-9,0.49,0.61
2-3-4-6-7-8-9,0.48,0.66
2-3-5-6-7-8-9,0.49,0.55
2-4-5-6-7-8-9,0.49,0.66
3-4-5-6-7-8-9,0.49,0.62
1-2-3-4-5-6-7-8,0.53,0.67
1-2-3-4-5-6-7-9,0.48,0.63
1-2-3-4-5-6-8-9,0.51,0.63
1-2-3-4-5-7-8-9,0.44,0.59
1-2-3-4-6-7-8-9,0.49,0.67
1-2-3-5-6-7-8-9,0.49,0.64
1-2-4-5-6-7-8-9,0.56,0.66
1-3-4-5-6-7-8-9,0.49,0.65
2-3-4-5-6-7-8-9,0.49,0.64
1-2-3-4-5-6-7-8-9,0.52,0.66
